Serial Number,Roll_Num,Uni_ID,Student Name, AML3201, CSL2301, CSL3307, CSL4207, CSL4208, CSL4305, CSL4318, CSL4336, CSL5210, CSP2301, ECL3311, GEW1601, GEW1603, GEW1604, GEW1605, GEW1607, GEW1608, GEW1609, GEW1610, GEW1611, GEW1613, AMP1201, CSP1307, CSP2210, ECP1311,Total
 56,10123466,20012056,AAA AAA56, 82.22, 83.33, , 76.36, 87.5, , , , 75, 89.29, , , , , , , 87.5, , , , , 93.33, , 79.66, , 82.88
 57,10123467,20012057,AAA AAA57, 91.11, 86.67, , 85.45, 94.64, , , , 93.75, 94.64, , , , , 100, , , , , , , 86.67, , 89.83, , 90.87
 58,10123468,20012058,AAA AAA58, 82.22, 80, , 78.18, 87.5, , , , 75, 80.36, , , , , 100, , , , , , , 86.67, , 77.12, , 81.05
 59,10123469,20012059,AAA AAA59, 77.78, 83.33, , 89.09, 89.29, , , , 87.5, 83.93, , , 87.5, , , , , , , , , 80, , 79.66, , 83.56
 60,10123470,20012060,AAA AAA60, 84.44, 86.67, , 78.18, 83.93, , , , 81.25, 94.64, , , , , , , 100, , , , , 80, , 77.97, , 83.33
 61,10123471,20012061,AAA AAA61, 88.89, 96.67, , 85.45, 89.29, , , , 87.5, 100, , , , , , , 100, , , , , 80, , 86.44, , 89.5
 62,10123472,20012062,AAA AAA62, 91.11, 96.67, , 83.64, 92.86, , , , 87.5, 100, , , , , , , 100, , , , , 86.67, , 88.14, , 90.87
 63,10123473,20012063,AAA AAA63, 77.78, 80, , 76.36, 85.71, , , , 68.75, 92.86, , , , , 100, , , , , , , 80, , 76.27, , 80.59
 64,10123474,20012064,AAA AAA64, 84.44, 93.33, , 78.18, 80.36, , , , 87.5, 92.86, , , , , , , , , , 100, , 86.67, , 77.97, , 84.02
 65,10123475,20012065,AAA AAA65, 81.82, 75, , 83.61, 78.69, , , , 92.86, 86.67, , , , 100, , , , , , , , 82.76, , 85.25, , 84.19
 66,10123476,20012066,AAA AAA66, , 81.82, , 81.69, 87.72, , 90, 81.4, , 81.48, , , , , , , , , , , , , , , , 84.1
 67,10123477,20012067,AAA AAA67, 75, 75, , 83.61, 75.41, , , , 85.71, 76.67, , , , , , 25, , , , , , 75.86, , 81.97, , 77.28
 68,10123478,20012068,AAA AAA68, , 96.97, , 100, 98.25, , 100, 93.02, , 96.3, , , , , , , , , , , , , , , , 97
 69,10123479,20012069,AAA AAA69, 79.55, 57.14, , 73.77, 68.85, , , , 71.43, 76.67, , , , , , 0, , , , , , 75.86, , 75.41, , 70.82
 70,10123480,20012070,AAA AAA70, 75, 78.57, , 78.69, 77.05, , , , 85.71, 76.67, , , , , 100, , , , , , , 82.76, , 78.69, , 79.29
 71,10123481,20012071,AAA AAA71, , 75.76, , 85.92, 89.47, , 100, 81.4, , 84.62, , , , , , , , , , , , , , , , 87.04
 72,10123482,20012072,AAA AAA72, 81.82, 78.57, , 73.77, 78.69, , , , 78.57, 70, , , , , , 100, , , , , , 82.76, , 78.69, , 78.17
 73,10123483,20012073,AAA AAA73, 88.64, 89.29, , 81.97, 81.97, , , , 85.71, 86.67, , 100, , , , , , , , , , 82.76, , 90.16, , 86.86
 74,10123484,20012074,AAA AAA74, 81.82, 75, , 80.33, 80.33, , , , 85.71, 83.33, , , 100, , , , , , , , , 82.76, , 86.89, , 83.52
 75,10123485,20012075,AAA AAA75, 81.82, 85.71, , 95.08, 86.89, , , , 85.71, 93.33, , 100, , , , , , , , , , 82.76, , 95.08, , 90.65
 76,10123486,20012076,AAA AAA76, 59.09, 75, , 60.66, 57.38, , , , 64.29, 66.67, , 100, , , , , , , , , , 62.07, , 62.3, , 63.92
 77,10123487,20012077,AAA AAA77, , 78.79, , 83.1, 89.47, , 96.43, 76.74, , 88.46, , , , , , , , , , , , , , , , 84.98
 78,10123488,20012078,AAA AAA78, 63.64, 46.43, , 63.93, 73.77, , , , 85.71, 23.33, , , 100, , , , , , , , , 82.76, , 75.41, , 65.7
 79,10123489,20012079,AAA AAA79, , 78.79, , 90.14, 89.47, , 100, 86.05, , 84.62, , , , , , , , , , , , , , , , 89.35
 80,10123490,20012080,AAA AAA80, 75, 75, , 77.05, 77.05, , , , 78.57, 73.33, , , , , , , , , 100, , , 75.86, , 75.41, , 76.61
 81,10123491,20012081,AAA AAA81, 34.09, 21.43, , 32.79, 19.67, , , , 28.57, 33.33, , , 0, , , , , , , , , 27.59, , 36.07, , 29.62
 82,10123492,20012082,AAA AAA82, 72.73, 75, , 80.33, 77.05, , , , 85.71, 76.67, , , , , , , , , 100, , , 79.31, , 77.05, , 78.4
 83,10123493,20012083,AAA AAA83, 77.27, 82.14, , 78.69, 81.97, , , , 92.86, 76.67, , , , , 100, , , , , , , 82.76, , 78.69, , 80.85
 84,10123494,20012084,AAA AAA84, 72.73, 75, , 77.05, 77.05, , , , 78.57, 75, , , , , , , , , 100, , , 82.76, , 75.41, , 77.06
